gene,classification
SPATA6L,protein
SPATA7,protein
SPATA8,protein
SPATA9,protein
SPATC1,protein
SPATC1L,protein
SPATS1,protein
SPATS2,protein
SPATS2L,protein
SPC24,protein
SPC25,protein
SPCS1,protein
SPCS2,protein
SPCS3,protein
SPDEF,protein
SPDL1,protein
SPDYA,protein
SPDYC,protein
SPDYE1,protein
SPDYE10P,protein
SPDYE11,protein
SPDYE12P,protein
SPDYE13,protein
SPDYE14,protein
SPDYE15,protein
SPDYE16,protein
SPDYE17,protein
SPDYE18,protein
SPDYE2,protein
SPDYE21,protein
SPDYE2B,protein
SPDYE3,protein
SPDYE4,protein
SPDYE5,protein
SPDYE6,protein
SPDYE7P,protein
SPDYE8,protein
SPDYE9,protein
SPECC1,protein
SPECC1L,protein
SPEF1,protein
SPEF2,protein
SPEG,protein
SPEGNB,protein
SPEM1,protein
SPEM2,protein
SPEM3,protein
SPEN,protein
SPESP1,protein
SPG11,protein
SPG21,protein
SPG7,protein
SPHK1,protein
SPHK2,protein
SPHKAP,protein
SPI1,protein
SPIB,protein
SPIC,protein
SPICE1,protein
SPIDR,protein
SPIN1,protein
SPIN2A,protein
SPIN2B,protein
SPIN3,protein
SPIN4,protein
SPINDOC,protein
SPINK1,protein
SPINK13,protein
SPINK14,protein
SPINK2,protein
SPINK4,protein
SPINK5,protein
SPINK6,protein
SPINK7,protein
SPINK8,protein
SPINK9,protein
SPINT1,protein
SPINT2,protein
SPINT3,protein
SPINT4,protein
SPIRE1,protein
SPIRE2,protein
SPN,protein
SPNS1,protein
SPNS2,protein
SPNS3,protein
SPO11,protein
SPOCD1,protein
SPOCK1,protein
SPOCK2,protein
SPOCK3,protein
SPON1,protein
SPON2,protein
SPOP,protein
SPOPL,protein
SPOUT1,protein
SPP1,protein
SPP2,protein
SPPL2A,protein
SPPL2B,protein
SPPL2C,protein
SPPL3,protein
SPR,protein
SPRED1,protein
SPRED2,protein
SPRED3,protein
SPRN,protein
SPRR1A,protein
SPRR1B,protein
SPRR2A,protein
SPRR2B,protein
SPRR2D,protein
SPRR2E,protein
SPRR2F,protein
SPRR2G,protein
SPRR3,protein
SPRR4,protein
SPRR5,protein
SPRTN,protein
SPRY1,protein
SPRY2,protein
SPRY3,protein
SPRY4,protein
SPRYD3,protein
SPRYD4,protein
SPRYD7,protein
SPSB1,protein
SPSB2,protein
SPSB3,protein
SPSB4,protein
SPTA1,protein
SPTAN1,protein
SPTB,protein
SPTBN1,protein
SPTBN2,protein
SPTBN4,protein
SPTBN5,protein
SPTLC1,protein
SPTLC2,protein
SPTLC3,protein
SPTSSA,protein
SPTSSB,protein
SPTY2D1,protein
SPTY2D1OS,protein
SPX,protein
SPZ1,protein
SQLE,protein
SQOR,protein
SQSTM1,protein
SRA1,protein
SRARP,protein
SRBD1,protein
SRC,protein
SRCAP,protein
SRCIN1,protein
SRD5A1,protein
SRD5A2,protein
SRD5A3,protein
SREBF1,protein
SREBF2,protein
SREK1,protein
SREK1IP1,protein
SRF,protein
SRFBP1,protein
SRGAP1,protein
SRGAP2,protein
SRGAP2B,protein
SRGAP2C,protein
SRGAP3,protein
SRGN,protein
SRI,protein
SRL,protein
SRM,protein
SRMS,protein
SRP14,protein
SRP19,protein
SRP54,protein
SRP68,protein
SRP72,protein
SRP9,protein
SRPK1,protein
SRPK2,protein
SRPK3,protein
SRPRA,protein
SRPRB,protein
SRPX,protein
SRPX2,protein
SRR,protein
SRRD,protein
SRRM1,protein
SRRM2,protein
SRRM3,protein
SRRM4,protein
SRRM5,protein
SRRT,protein
SRSF1,protein
SRSF10,protein
SRSF11,protein
SRSF12,protein
SRSF2,protein
SRSF3,protein
SRSF4,protein
SRSF5,protein
SRSF6,protein
SRSF7,protein
SRSF8,protein
SRSF9,protein
SRXN1,protein
SRY,protein
SS18,protein
SS18L1,protein
SS18L2,protein
SSB,protein
SSBP1,protein
SSBP2,protein
SSBP3,protein
SSBP3-AS1,protein
SSBP4,protein
SSC4D,protein
SSC5D,protein
SSH1,protein
SSH2,protein
SSH3,protein
SSMEM1,protein
SSNA1,protein
SSPN,protein
SSPO,protein
SSR1,protein
SSR2,protein
SSR3,protein
SSR4,protein
SSRP1,protein
SST,protein
SSTR1,protein
SSTR2,protein
SSTR3,protein
SSTR4,protein
SSTR5,protein
SSU72,protein
SSU72P2,protein
SSUH2,protein
SSX1,protein
SSX2,protein
SSX2B,protein
SSX2IP,protein
SSX3,protein
SSX4,protein
SSX4B,protein
SSX5,protein
SSX6P,protein
SSX7,protein
SSX8P,protein
SSX9P,protein
ST13,protein
ST13P4,protein
ST13P5,protein
ST14,protein
ST18,protein
ST20,protein
ST20-AS1,protein
ST3GAL1,protein
ST3GAL2,protein
ST3GAL3,protein
ST3GAL4,protein
ST3GAL5,protein
ST3GAL6,protein
ST6GAL1,protein
ST6GAL2,protein
ST6GALNAC1,protein
ST6GALNAC2,protein
ST6GALNAC3,protein
ST6GALNAC4,protein
ST6GALNAC5,protein
ST6GALNAC6,protein
ST7,protein
ST7L,protein
ST8SIA1,protein
ST8SIA2,protein
ST8SIA3,protein
ST8SIA4,protein
ST8SIA5,protein
ST8SIA6,protein
STAB1,protein
STAB2,protein
STAC,protein
STAC2,protein
STAC3,protein
STAG1,protein
STAG2,protein
STAG3,protein
STAG3L1,protein
STAG3L2,protein
STAG3L3,protein
STAG3L4,protein
STAM,protein
STAM2,protein
STAMBP,protein
STAMBPL1,protein
STAP1,protein
STAP2,protein
STAR,protein
STARD10,protein
STARD13,protein
STARD3,protein
STARD3NL,protein
STARD4,protein
STARD5,protein
STARD6,protein
STARD7,protein
STARD8,protein
STARD9,protein
STAT1,protein
STAT2,protein
STAT3,protein
STAT4,protein
STAT5A,protein
STAT5B,protein
STAT6,protein
STATH,protein
STAU1,protein
STAU2,protein
STBD1,protein
STC1,protein
STC2,protein
STEAP1,protein
STEAP1B,protein
STEAP2,protein
STEAP3,protein
STEAP4,protein
STH,protein
STIL,protein
STIM1,protein
STIM2,protein
STIMATE,protein
STING1,protein
STIP1,protein
STK10,protein
STK11,protein
STK11IP,protein
STK16,protein
STK17A,protein
STK17B,protein
STK19,protein
STK24,protein
STK25,protein
STK26,protein
STK3,protein
STK31,protein
STK32A,protein
STK32B,protein
STK32C,protein
STK33,protein
STK35,protein
STK36,protein
STK38,protein
STK38L,protein
STK39,protein
STK4,protein
STK40,protein
STKLD1,protein
STMN1,protein
STMN2,protein
STMN3,protein
STMN4,protein
STMND1,protein
STMP1,protein
STN1,protein
STOM,protein
STOML1,protein
STOML2,protein
STOML3,protein
STON1,protein
STON2,protein
STOX1,protein
STOX2,protein
STPG1,protein
STPG2,protein
STPG3,protein
STPG4,protein
STRA6,protein
STRA8,protein
STRADA,protein
STRADB,protein
STRAP,protein
STRBP,protein
STRC,protein
STRCP1,protein
STRIP1,protein
STRIP2,protein
STRIT1,protein
STRN,protein
STRN3,protein
STRN4,protein
STS,protein
STT3A,protein
STT3B,protein
STUB1,protein
STUM,protein
STX10,protein
STX11,protein
STX12,protein
STX16,protein
STX17,protein
STX18,protein
STX19,protein
STX1A,protein
STX1B,protein
STX2,protein
STX3,protein
STX4,protein
STX5,protein
STX6,protein
STX7,protein
STX8,protein
STXBP1,protein
STXBP2,protein
STXBP3,protein
STXBP4,protein
STXBP5,protein
STXBP5L,protein
STXBP6,protein
STYK1,protein
STYX,protein
STYXL1,protein
SUB1,protein
SUCLA2,protein
SUCLG1,protein
SUCLG2,protein
SUCNR1,protein
SUCO,protein
SUDS3,protein
SUFU,protein
SUGCT,protein
SUGP1,protein
SUGP2,protein
SUGT1,protein
SULF1,protein
SULF2,protein
SULT1A1,protein
SULT1A2,protein
SULT1A3,protein
SULT1A4,protein
SULT1B1,protein
SULT1C2,protein
SULT1C3,protein
SULT1C4,protein
SULT1E1,protein
SULT2A1,protein
SULT2B1,protein
SULT4A1,protein
SULT6B1,protein
SUMF1,protein
SUMF2,protein
SUMO1,protein
SUMO1P1,protein
SUMO2,protein
SUMO3,protein
SUMO4,protein
SUN1,protein
SUN2,protein
SUN3,protein
SUN5,protein
SUOX,protein
SUPT16H,protein
SUPT20H,protein
SUPT20HL1,protein
SUPT20HL2,protein
SUPT3H,protein
SUPT4H1,protein
SUPT5H,protein
SUPT6H,protein
SUPT7L,protein
SUPV3L1,protein
SURF1,protein
SURF2,protein
SURF4,protein
SURF6,protein
SUSD1,protein
SUSD2,protein
SUSD3,protein
SUSD4,protein
SUSD5,protein
SUSD6,protein
SUV39H1,protein
SUV39H2,protein
SUZ12,protein
SV2A,protein
SV2B,protein
SV2C,protein
SVBP,protein
SVEP1,protein
SVIL,protein
SVIP,protein
SVOP,protein
SVOPL,protein
SWAP70,protein
SWI5,protein
SWSAP1,protein
SWT1,protein
SYAP1,protein
SYBU,protein
SYCE1,protein
SYCE1L,protein
SYCE2,protein
SYCE3,protein
SYCN,protein
SYCP1,protein
SYCP2,protein
SYCP2L,protein
SYCP3,protein
SYDE1,protein
SYDE2,protein
SYF2,protein
SYK,protein
SYMPK,protein
SYN1,protein
SYN2,protein
SYN3,protein
SYNC,protein
SYNCRIP,protein
SYNDIG1,protein
SYNDIG1L,protein
SYNE1,protein
SYNE2,protein
SYNE3,protein
SYNE4,protein
SYNGAP1,protein
SYNGR1,protein
SYNGR2,protein
SYNGR3,protein
SYNGR4,protein
SYNJ1,protein
SYNJ2,protein
SYNJ2BP,protein
SYNM,protein
SYNPO,protein
SYNPO2,protein
SYNPO2L,protein
SYNPR,protein
SYNRG,protein
SYP,protein
SYPL1,protein
SYPL2,protein
SYS1,protein
SYT1,protein
SYT10,protein
SYT11,protein
SYT12,protein
SYT13,protein
SYT14,protein
SYT14P1,protein
SYT15,protein
SYT16,protein
SYT17,protein
SYT2,protein
SYT3,protein
SYT4,protein
SYT5,protein
SYT6,protein
SYT7,protein
SYT8,protein
SYT9,protein
SYTL1,protein
SYTL2,protein
SYTL3,protein
SYTL4,protein
SYTL5,protein
SYVN1,protein
SZRD1,protein
SZT2,protein
TAAR1,protein
TAAR2,protein
TAAR3P,protein
TAAR5,protein
TAAR6,protein
TAAR8,protein
TAAR9,protein
TAB1,protein
TAB2,protein
TAB3,protein
TAC1,protein
TAC3,protein
TAC4,protein
TACC1,protein
TACC2,protein
TACC3,protein
TACO1,protein
TACR1,protein
TACR2,protein
TACR3,protein
TACSTD2,protein
TADA1,protein
TADA2A,protein
TADA2B,protein
TADA3,protein
TAF1,protein
TAF10,protein
TAF11,protein
TAF11L10,protein
TAF11L11,protein
TAF11L12,protein
TAF11L13,protein
TAF11L14,protein
TAF11L2,protein
TAF11L3,protein
TAF11L4,protein
TAF11L5,protein
TAF11L6,protein
TAF11L7,protein
TAF11L8,protein
TAF11L9,protein
TAF12,protein
TAF13,protein
TAF15,protein
TAF1A,protein
TAF1B,protein
TAF1C,protein
TAF1D,protein
TAF1L,protein
TAF2,protein
TAF3,protein
TAF4,protein
TAF4B,protein
TAF5,protein
TAF5L,protein
TAF6,protein
TAF6L,protein
TAF7,protein
TAF7L,protein
TAF8,protein
TAF9,protein
TAF9B,protein
TAFA1,protein
TAFA2,protein
TAFA3,protein
TAFA4,protein
TAFA5,protein
TAGAP,protein
TAGLN,protein
TAGLN2,protein
TAGLN3,protein
TAL1,protein
TAL2,protein
TALDO1,protein
TAMM41,protein
TANC1,protein
TANC2,protein
TANGO2,protein
TANGO6,protein
TANK,protein
TAOK1,protein
TAOK2,protein
TAOK3,protein
TAP1,protein
TAP2,protein
TAPBP,protein
TAPBPL,protein
TAPT1,protein
TARBP1,protein
TARBP2,protein
TARDBP,protein
TARM1,protein
TARS1,protein
TARS2,protein
TARS3,protein
TAS1R1,protein
TAS1R2,protein
TAS1R3,protein
TAS2R1,protein
TAS2R10,protein
TAS2R13,protein
TAS2R14,protein
TAS2R16,protein
TAS2R19,protein
TAS2R20,protein
TAS2R3,protein
TAS2R30,protein
TAS2R31,protein
TAS2R38,protein
TAS2R39,protein
TAS2R4,protein
TAS2R40,protein
TAS2R41,protein
TAS2R42,protein
TAS2R45,protein
TAS2R46,protein
TAS2R5,protein
TAS2R50,protein
TAS2R60,protein
TAS2R7,protein
TAS2R8,protein
TAS2R9,protein
TASOR,protein
TASOR2,protein
TASP1,protein
TAT,protein
TATDN1,protein
TATDN2,protein
TATDN3,protein
TAX1BP1,protein
TAX1BP3,protein
TAZ,protein
TBATA,protein
TBC1D1,protein
TBC1D10A,protein
TBC1D10B,protein
TBC1D10C,protein
TBC1D12,protein
TBC1D13,protein
TBC1D14,protein
TBC1D15,protein
TBC1D16,protein
TBC1D17,protein
TBC1D19,protein
TBC1D2,protein
TBC1D20,protein
TBC1D21,protein
TBC1D22A,protein
TBC1D22B,protein
TBC1D23,protein
TBC1D24,protein
TBC1D25,protein
TBC1D26,protein
TBC1D28,protein
TBC1D29P,protein
TBC1D2B,protein
TBC1D3,protein
TBC1D30,protein
TBC1D31,protein
TBC1D32,protein
TBC1D3B,protein
TBC1D3C,protein
TBC1D3D,protein
TBC1D3E,protein
TBC1D3F,protein
TBC1D3G,protein
TBC1D3H,protein
TBC1D3I,protein
TBC1D3K,protein
TBC1D3L,protein
TBC1D4,protein
TBC1D5,protein
TBC1D7,protein
TBC1D8,protein
TBC1D8B,protein
TBC1D9,protein
TBC1D9B,protein
TBCA,protein
TBCB,protein
TBCC,protein
TBCCD1,protein
TBCD,protein
TBCE,protein
TBCEL,protein
TBCK,protein
TBK1,protein
TBKBP1,protein
TBL1X,protein
TBL1XR1,protein
TBL1Y,protein
TBL2,protein
TBL3,protein
TBP,protein
TBPL1,protein
TBPL2,protein
TBR1,protein
TBRG1,protein
TBRG4,protein
TBX1,protein
TBX10,protein
TBX15,protein
TBX18,protein
TBX19,protein
TBX2,protein
TBX20,protein
TBX21,protein
TBX22,protein
TBX3,protein
TBX4,protein
TBX5,protein
TBX6,protein
TBXA2R,protein
TBXAS1,protein
TBXT,protein
TC2N,protein
TCAF1,protein
TCAF2,protein
TCAIM,protein
TCAP,protein
TCEA1,protein
TCEA2,protein
TCEA3,protein
TCEAL1,protein
TCEAL2,protein
TCEAL3,protein
TCEAL4,protein
TCEAL5,protein
TCEAL6,protein
TCEAL7,protein
TCEAL8,protein
TCEAL9,protein
TCEANC,protein
TCEANC2,protein
TCERG1,protein
TCERG1L,protein
TCF12,protein
TCF15,protein
TCF19,protein
TCF20,protein
TCF21,protein
TCF23,protein
TCF24,protein
TCF25,protein
TCF3,protein
TCF4,protein
TCF7,protein
TCF7L1,protein
TCF7L2,protein
TCFL5,protein
TCHH,protein
TCHHL1,protein
TCHP,protein
TCIM,protein
TCIRG1,protein
TCL1A,protein
TCL1B,protein
TCN1,protein
TCN2,protein
TCOF1,protein
TCP1,protein
TCP10L,protein
TCP11,protein
TCP11L1,protein
TCP11L2,protein
TCP11X1,protein
TCP11X2,protein
TCTA,protein
TCTE1,protein
TCTE3,protein
TCTEX1D1,protein
TCTEX1D2,protein
TCTEX1D4,protein
TCTN1,protein
TCTN2,protein
TCTN3,protein
TDG,protein
TDGF1,protein
TDGF1P3,protein
TDH,protein
TDO2,protein
TDP1,protein
TDP2,protein
TDRD1,protein
TDRD10,protein
TDRD12,protein
TDRD15,protein
TDRD3,protein
TDRD5,protein
TDRD6,protein
TDRD7,protein
TDRD9,protein
TDRG1,protein
TDRKH,protein
TDRP,protein
TEAD1,protein
TEAD2,protein
TEAD3,protein
TEAD4,protein
TEC,protein
TECPR1,protein
TECPR2,protein
TECR,protein
TECRL,protein
TECTA,protein
TECTB,protein
TEDC1,protein
TEDC2,protein
TEDDM1,protein
TEF,protein
TEFM,protein
TEK,protein
TEKT1,protein
TEKT2,protein
TEKT3,protein
TEKT4,protein
TEKT5,protein
TELO2,protein
TEN1,protein
TENM1,protein
TENM2,protein
TENM3,protein
TENM4,protein
TENT2,protein
TENT4A,protein
TENT4B,protein
TENT5A,protein
TENT5B,protein
TENT5C,protein
TENT5D,protein
TEP1,protein
TEPP,protein
TEPSIN,protein
TERB1,protein
TERB2,protein
TERF1,protein
TERF2,protein
TERF2IP,protein
TERT,protein
TES,protein
TESC,protein
TESK1,protein
TESK2,protein
TESMIN,protein
TESPA1,protein
TET1,protein
TET2,protein
TET3,protein
TEX10,protein
TEX101,protein
TEX11,protein
TEX12,protein
TEX13A,protein
TEX13B,protein
TEX13C,protein
TEX13D,protein
TEX14,protein
TEX15,protein
TEX19,protein
TEX2,protein
TEX22,protein
TEX26,protein
TEX261,protein
TEX264,protein
TEX28,protein
TEX28P2,protein
TEX29,protein
TEX30,protein
TEX33,protein
TEX35,protein
TEX36,protein
TEX37,protein
TEX38,protein
TEX43,protein
TEX44,protein
TEX45,protein
TEX46,protein
TEX47,protein
TEX48,protein
TEX49,protein
TEX50,protein
TEX51,protein
TEX52,protein
TEX53,protein
TEX54,protein
TEX55,protein
TEX9,protein
TF,protein
TFAM,protein
TFAP2A,protein
TFAP2B,protein
TFAP2C,protein
TFAP2D,protein
TFAP2E,protein
TFAP4,protein
TFB1M,protein
TFB2M,protein
TFCP2,protein
TFCP2L1,protein
TFDP1,protein
TFDP2,protein
TFDP3,protein
TFE3,protein
TFEB,protein
TFEC,protein
TFF1,protein
TFF2,protein
TFF3,protein
TFG,protein
TFIP11,protein
TFPI,protein
TFPI2,protein
TFPT,protein
TFR2,protein
TFRC,protein
TG,protein
TGDS,protein
TGFA,protein
TGFB1,protein
TGFB1I1,protein
TGFB2,protein
TGFB3,protein
TGFBI,protein
TGFBR1,protein
TGFBR2,protein
TGFBR3,protein
TGFBR3L,protein
TGFBRAP1,protein
TGIF1,protein
TGIF2,protein
TGIF2LX,protein
TGIF2LY,protein
TGM1,protein
TGM2,protein
TGM3,protein
TGM4,protein
TGM5,protein
TGM6,protein
TGM7,protein
TGOLN2,protein
TGS1,protein
TH,protein
THADA,protein
THAP1,protein
THAP10,protein
THAP11,protein
THAP12,protein
THAP2,protein
THAP3,protein
THAP4,protein
THAP5,protein
THAP6,protein
THAP7,protein
THAP8,protein
THAP9,protein
THBD,protein
THBS1,protein
THBS2,protein
THBS3,protein
THBS4,protein
THEG,protein
THEGL,protein
THEM4,protein
THEM5,protein
THEM6,protein
THEMIS,protein
THEMIS2,protein
THG1L,protein
THNSL1,protein
THNSL2,protein
THOC1,protein
THOC2,protein
THOC3,protein
THOC5,protein
THOC6,protein
THOC7,protein
THOP1,protein
THPO,protein
THRA,protein
THRAP3,protein
THRB,protein
THRSP,protein
THSD1,protein
THSD4,protein
THSD7A,protein
THSD7B,protein
THSD8,protein
THTPA,protein
THUMPD1,protein
THUMPD2,protein
THUMPD3,protein
THY1,protein
THYN1,protein
TIA1,protein
TIAF1,protein
TIAL1,protein
TIAM1,protein
TIAM2,protein
TICAM1,protein
TICAM2,protein
TICRR,protein
TIE1,protein
TIFA,protein
TIFAB,protein
TIGAR,protein
TIGD1,protein
TIGD2,protein
TIGD3,protein
TIGD4,protein
TIGD5,protein
TIGD6,protein
TIGD7,protein
TIGIT,protein
TIMD4,protein
TIMELESS,protein
TIMM10,protein
TIMM10B,protein
TIMM13,protein
TIMM17A,protein
TIMM17B,protein
TIMM21,protein
TIMM22,protein
TIMM23,protein
TIMM23B,protein
TIMM29,protein
TIMM44,protein
TIMM50,protein
TIMM8A,protein
TIMM8B,protein
TIMM9,protein
TIMMDC1,protein
TIMP1,protein
TIMP2,protein
TIMP3,protein
TIMP4,protein
TINAG,protein
TINAGL1,protein
TINCR,protein
TINF2,protein
TIPARP,protein
TIPIN,protein
TIPRL,protein
TIRAP,protein
TJAP1,protein
TJP1,protein
TJP2,protein
TJP3,protein
TK1,protein
TK2,protein
TKFC,protein
TKT,protein
TKTL1,protein
TKTL2,protein
TLCD1,protein
TLCD2,protein
TLCD3A,protein
TLCD3B,protein
TLCD4,protein
TLCD5,protein
TLDC2,protein
TLE1,protein
TLE2,protein
TLE3,protein
TLE4,protein
TLE5,protein
TLE6,protein
TLE7,protein
TLK1,protein
TLK2,protein
TLL1,protein
TLL2,protein
TLN1,protein
TLN2,protein
TLNRD1,protein
TLR1,protein
TLR10,protein
TLR2,protein
TLR3,protein
TLR4,protein
TLR5,protein
TLR6,protein
TLR7,protein
TLR8,protein
TLR9,protein
TLX1,protein
TLX1NB,protein
TLX2,protein
TLX3,protein
TM2D1,protein
TM2D2,protein
TM2D3,protein
TM4SF1,protein
TM4SF18,protein
TM4SF19,protein
TM4SF20,protein
TM4SF4,protein
TM4SF5,protein
TM6SF1,protein
TM6SF2,protein
TM7SF2,protein
TM7SF3,protein
TM9SF1,protein
TM9SF2,protein
TM9SF3,protein
TM9SF4,protein
TMA16,protein
TMA7,protein
TMBIM1,protein
TMBIM4,protein
TMBIM6,protein
TMC1,protein
TMC2,protein
TMC3,protein
TMC4,protein
TMC5,protein
TMC6,protein
TMC7,protein
TMC8,protein
TMCC1,protein
TMCC2,protein
TMCC3,protein
TMCO1,protein
TMCO2,protein
TMCO3,protein
TMCO4,protein
TMCO5A,protein
TMCO5B,protein
TMCO6,protein
TMDD1,protein
TMED1,protein
TMED10,protein
TMED2,protein
TMED3,protein
TMED4,protein
TMED5,protein
TMED6,protein
TMED7,protein
TMED8,protein
TMED9,protein
TMEFF1,protein
TMEFF2,protein
TMEM100,protein
TMEM101,protein
TMEM102,protein
TMEM104,protein
TMEM106A,protein
TMEM106B,protein
TMEM106C,protein
TMEM107,protein
TMEM108,protein
TMEM109,protein
TMEM11,protein
TMEM114,protein
TMEM115,protein
TMEM116,protein
TMEM117,protein
TMEM119,protein
TMEM120A,protein
TMEM120B,protein
TMEM121,protein
TMEM121B,protein
TMEM123,protein
TMEM125,protein
TMEM126A,protein
TMEM126B,protein
TMEM127,protein
TMEM128,protein
TMEM129,protein
TMEM130,protein
TMEM131,protein
TMEM131L,protein
TMEM132A,protein
TMEM132B,protein
TMEM132C,protein
TMEM132D,protein
TMEM132E,protein
TMEM134,protein
TMEM135,protein
TMEM138,protein
TMEM139,protein
TMEM140,protein
TMEM141,protein
TMEM143,protein
TMEM144,protein
TMEM145,protein
TMEM147,protein
TMEM14A,protein
TMEM14B,protein
TMEM14C,protein
TMEM14DP,protein
TMEM14EP,protein
TMEM150A,protein
TMEM150B,protein
TMEM150C,protein
TMEM151A,protein
TMEM151B,protein
TMEM154,protein
TMEM155,protein
TMEM156,protein
TMEM158,protein
TMEM159,protein
TMEM160,protein
TMEM161A,protein
TMEM161B,protein
TMEM163,protein
TMEM164,protein
TMEM165,protein
TMEM167A,protein
TMEM167B,protein
TMEM168,protein
TMEM169,protein
TMEM17,protein
TMEM170A,protein
TMEM170B,protein
TMEM171,protein
TMEM174,protein
TMEM175,protein
TMEM176A,protein
TMEM176B,protein
TMEM177,protein
TMEM178A,protein
TMEM178B,protein
TMEM179,protein
TMEM179B,protein
TMEM18,protein
TMEM181,protein
TMEM182,protein
TMEM183A,protein
TMEM183B,protein
TMEM184A,protein
TMEM184B,protein
TMEM184C,protein
TMEM185A,protein
TMEM185B,protein
TMEM186,protein
TMEM187,protein
TMEM189,protein
TMEM19,protein
TMEM190,protein
TMEM191A,protein
TMEM191B,protein
TMEM191C,protein
TMEM192,protein
TMEM196,protein
TMEM198,protein
TMEM199,protein
TMEM200A,protein
TMEM200B,protein
TMEM200C,protein
TMEM201,protein
TMEM202,protein
TMEM203,protein
TMEM204,protein
TMEM205,protein
TMEM207,protein
TMEM208,protein
TMEM209,protein
TMEM210,protein
TMEM211,protein
TMEM212,protein
TMEM213,protein
TMEM214,protein
TMEM215,protein
TMEM216,protein
TMEM217,protein
TMEM218,protein
TMEM219,protein
TMEM220,protein
TMEM221,protein
TMEM222,protein
TMEM223,protein
TMEM225,protein
TMEM225B,protein
TMEM229A,protein
TMEM229B,protein
TMEM230,protein
TMEM231,protein
TMEM232,protein
TMEM233,protein
TMEM234,protein
TMEM235,protein
TMEM236,protein
TMEM237,protein
TMEM238,protein
TMEM238L,protein
TMEM239,protein
TMEM240,protein
TMEM241,protein
TMEM242,protein
TMEM243,protein
TMEM244,protein
TMEM245,protein
TMEM247,protein
TMEM248,protein
TMEM249,protein
TMEM25,protein
TMEM250,protein
TMEM251,protein
TMEM252,protein
TMEM253,protein
TMEM254,protein
TMEM255A,protein
TMEM255B,protein
TMEM256,protein
TMEM258,protein
TMEM259,protein
TMEM26,protein
TMEM260,protein
TMEM262,protein
TMEM263,protein
TMEM265,protein
TMEM266,protein
TMEM267,protein
TMEM268,protein
TMEM269,protein
TMEM270,protein
TMEM271,protein
TMEM272,protein
TMEM273,protein
TMEM275,protein
TMEM30A,protein
TMEM30B,protein
TMEM30CP,protein
TMEM31,protein
TMEM33,protein
TMEM35A,protein
TMEM35B,protein
TMEM37,protein
TMEM38A,protein
TMEM38B,protein
TMEM39A,protein
TMEM39B,protein
TMEM40,protein
TMEM41A,protein
TMEM41B,protein
TMEM42,protein
TMEM43,protein
TMEM44,protein
TMEM45A,protein
TMEM45B,protein
TMEM47,protein
TMEM50A,protein
TMEM50B,protein
TMEM51,protein
TMEM52,protein
TMEM52B,protein
TMEM53,protein
TMEM54,protein
TMEM59,protein
TMEM59L,protein
TMEM60,protein
TMEM61,protein
TMEM62,protein
TMEM63A,protein
TMEM63B,protein
TMEM63C,protein
TMEM64,protein
TMEM65,protein
TMEM67,protein
TMEM68,protein
TMEM69,protein
TMEM70,protein
TMEM71,protein
TMEM72,protein
TMEM74,protein
TMEM74B,protein
TMEM75,protein
TMEM78,protein
TMEM79,protein
TMEM80,protein
TMEM81,protein
TMEM82,protein
TMEM86A,protein
TMEM86B,protein
TMEM87A,protein
TMEM87B,protein
TMEM88,protein
TMEM88B,protein
TMEM89,protein
TMEM8B,protein
TMEM9,protein
TMEM91,protein
TMEM92,protein
TMEM94,protein
TMEM95,protein
TMEM97,protein
TMEM98,protein
TMEM99,protein
TMEM9B,protein
TMF1,protein
TMIE,protein
TMIGD1,protein
TMIGD2,protein
TMIGD3,protein
TMLHE,protein
TMOD1,protein
TMOD2,protein
TMOD3,protein
TMOD4,protein
TMPO,protein
TMPPE,protein
TMPRSS11A,protein
TMPRSS11B,protein
TMPRSS11D,protein
TMPRSS11E,protein
TMPRSS11F,protein
TMPRSS12,protein
TMPRSS13,protein
TMPRSS15,protein
TMPRSS2,protein
TMPRSS3,protein
TMPRSS4,protein
TMPRSS5,protein
TMPRSS6,protein
TMPRSS7,protein
TMPRSS9,protein
TMSB10,protein
TMSB15A,protein
TMSB15B,protein
TMSB4X,protein
TMSB4Y,protein
TMTC1,protein
TMTC2,protein
TMTC3,protein
TMTC4,protein
TMUB1,protein
TMUB2,protein
TMX1,protein
TMX2,protein
TMX3,protein
TMX4,protein
TNC,protein
TNF,protein
TNFAIP1,protein
TNFAIP2,protein
TNFAIP3,protein
TNFAIP6,protein
TNFAIP8,protein
TNFAIP8L1,protein
TNFAIP8L2,protein
TNFAIP8L3,protein
TNFRSF10A,protein
TNFRSF10B,protein
TNFRSF10C,protein
TNFRSF10D,protein
TNFRSF11A,protein
TNFRSF11B,protein
TNFRSF12A,protein
TNFRSF13B,protein
TNFRSF13C,protein
TNFRSF14,protein
TNFRSF17,protein
TNFRSF18,protein
TNFRSF19,protein
TNFRSF1A,protein
TNFRSF1B,protein
TNFRSF21,protein
TNFRSF25,protein
TNFRSF4,protein
TNFRSF6B,protein
TNFRSF8,protein
TNFRSF9,protein
TNFSF10,protein
TNFSF11,protein
TNFSF12,protein
TNFSF13,protein
TNFSF13B,protein
TNFSF14,protein
TNFSF15,protein
TNFSF18,protein
TNFSF4,protein
TNFSF8,protein
TNFSF9,protein
TNIK,protein
TNIP1,protein
TNIP2,protein
TNIP3,protein
TNK1,protein
TNK2,protein
TNKS,protein
TNKS1BP1,protein
TNKS2,protein
TNMD,protein
TNN,protein
TNNC1,protein
