dataset,datasetIteration,model,orientation,trainingType,val
gbm,36,NAS14NN,second,allDatasets,0.7718415856361389
gbm,36,NAS14NN,second,justTargetDataset,1.1685456037521362
hnscc,36,NAS14NN,first,allDatasets,0.6340338587760925
hnscc,36,NAS14NN,first,justTargetDataset,1.017458438873291
hnscc,36,NAS14NN,second,allDatasets,0.8020074963569641
hnscc,36,NAS14NN,second,justTargetDataset,1.1776679754257202
lscc,36,NAS14NN,first,allDatasets,0.5700215101242065
lscc,36,NAS14NN,first,justTargetDataset,1.0193003416061401
lscc,36,NAS14NN,second,allDatasets,0.5569884181022644
lscc,36,NAS14NN,second,justTargetDataset,0.9278154373168945
luad,36,NAS14NN,first,allDatasets,0.71592777967453
luad,36,NAS14NN,first,justTargetDataset,1.1482491493225098
luad,36,NAS14NN,second,allDatasets,0.8153472542762756
luad,36,NAS14NN,second,justTargetDataset,1.113957405090332
ov,36,NAS14NN,first,allDatasets,0.9449180364608765
ov,36,NAS14NN,first,justTargetDataset,1.3371168375015259
ov,36,NAS14NN,second,allDatasets,0.9954854249954224
ov,36,NAS14NN,second,justTargetDataset,1.4905028343200684
pdac,36,NAS14NN,first,allDatasets,4.3674211502075195
pdac,36,NAS14NN,first,justTargetDataset,4.058102130889893
all,36,NAS14NN,first,allDatasets,1.2370080947875977
all,36,NAS14NN,first,justTargetDataset,1.2361009120941162
all,36,NAS14NN,second,allDatasets,0.9326239228248596
all,36,NAS14NN,second,justTargetDataset,0.932837188243866
brca,37,NAS14NN,first,allDatasets,0.8067751526832581
brca,37,NAS14NN,first,justTargetDataset,1.217964768409729
brca,37,NAS14NN,second,allDatasets,0.923715353012085
ccrcc,37,NAS14NN,first,allDatasets,0.6649302244186401
ccrcc,37,NAS14NN,first,justTargetDataset,0.9690431952476501
coad,37,NAS14NN,first,allDatasets,4.1440958976745605
coad,37,NAS14NN,first,justTargetDataset,4.1880693435668945
coad,37,NAS14NN,second,allDatasets,3.5547752380371094
coad,37,NAS14NN,second,justTargetDataset,3.8160793781280518
gbm,37,NAS14NN,first,allDatasets,0.9429925084114075
gbm,37,NAS14NN,first,justTargetDataset,1.4386565685272217
gbm,37,NAS14NN,second,allDatasets,0.7627422213554382
gbm,37,NAS14NN,second,justTargetDataset,1.1316026449203491
hnscc,37,NAS14NN,first,allDatasets,0.7270938754081726
hnscc,37,NAS14NN,first,justTargetDataset,1.0852638483047485
hnscc,37,NAS14NN,second,allDatasets,0.6887521743774414
hnscc,37,NAS14NN,second,justTargetDataset,1.0864542722702026
lscc,37,NAS14NN,first,allDatasets,0.5401755571365356
lscc,37,NAS14NN,first,justTargetDataset,0.9534863233566284
lscc,37,NAS14NN,second,allDatasets,0.5506917834281921
lscc,37,NAS14NN,second,justTargetDataset,0.9392324090003967
luad,37,NAS14NN,first,allDatasets,0.7727567553520203
ov,37,NAS14NN,first,allDatasets,1.0500285625457764
ov,37,NAS14NN,first,justTargetDataset,1.487247109413147
pdac,37,NAS14NN,first,allDatasets,1.3761111497879028
pdac,37,NAS14NN,first,justTargetDataset,1.6985408067703247
pdac,37,NAS14NN,second,allDatasets,2.2665324211120605
pdac,37,NAS14NN,second,justTargetDataset,2.5915582180023193
all,37,NAS14NN,first,allDatasets,1.0991835594177246
all,37,NAS14NN,first,justTargetDataset,1.0995436906814575
all,37,NAS14NN,second,allDatasets,1.1759037971496582
all,37,NAS14NN,second,justTargetDataset,1.1776355504989624
brca,38,NAS14NN,first,allDatasets,0.7557578682899475
brca,38,NAS14NN,first,justTargetDataset,1.2120091915130615
brca,38,NAS14NN,second,allDatasets,0.9177731871604919
brca,38,NAS14NN,second,justTargetDataset,1.2687894105911255
coad,38,NAS14NN,first,allDatasets,6.803943157196045
coad,38,NAS14NN,first,justTargetDataset,6.582175254821777
hnscc,38,NAS14NN,first,allDatasets,0.7006401419639587
hnscc,38,NAS14NN,first,justTargetDataset,1.0720397233963013
hnscc,38,NAS14NN,second,allDatasets,0.7226707935333252
hnscc,38,NAS14NN,second,justTargetDataset,1.1404510736465454
lscc,38,NAS14NN,first,allDatasets,0.5808360576629639
lscc,38,NAS14NN,first,justTargetDataset,0.9889131188392639
lscc,38,NAS14NN,second,allDatasets,0.5178492069244385
lscc,38,NAS14NN,second,justTargetDataset,0.9030147194862366
luad,38,NAS14NN,first,allDatasets,0.840320885181427
ov,38,NAS14NN,first,allDatasets,1.1172394752502441
ov,38,NAS14NN,first,justTargetDataset,1.6458793878555298
ov,38,NAS14NN,second,allDatasets,0.9065424799919128
ov,38,NAS14NN,second,justTargetDataset,1.31257963180542
pdac,38,NAS14NN,first,allDatasets,1.238115906715393
pdac,38,NAS14NN,first,justTargetDataset,1.6248224973678589
pdac,38,NAS14NN,second,allDatasets,2.165653705596924
pdac,38,NAS14NN,second,justTargetDataset,2.183229446411133
all,38,NAS14NN,first,allDatasets,1.3137410879135132
all,38,NAS14NN,first,justTargetDataset,1.3130934238433838
all,38,NAS14NN,second,allDatasets,1.2138067483901978
all,38,NAS14NN,second,justTargetDataset,1.213261365890503
brca,39,NAS14NN,first,allDatasets,1.134861707687378
brca,39,NAS14NN,first,justTargetDataset,1.685906171798706
brca,39,NAS14NN,second,allDatasets,0.7652885913848877
brca,39,NAS14NN,second,justTargetDataset,1.1836496591567993
coad,39,NAS14NN,first,allDatasets,8.066787719726562
coad,39,NAS14NN,first,justTargetDataset,7.740963459014893
coad,39,NAS14NN,second,allDatasets,1.4899425506591797
coad,39,NAS14NN,second,justTargetDataset,1.9112776517868042
hnscc,39,NAS14NN,first,allDatasets,0.7504616975784302
hnscc,39,NAS14NN,first,justTargetDataset,1.1446444988250732
lscc,39,NAS14NN,first,allDatasets,0.5681623816490173
lscc,39,NAS14NN,first,justTargetDataset,0.9878280758857727
lscc,39,NAS14NN,second,allDatasets,0.5599656105041504
lscc,39,NAS14NN,second,justTargetDataset,0.9367216229438782
luad,39,NAS14NN,first,allDatasets,0.8368392586708069
luad,39,NAS14NN,first,justTargetDataset,1.2072536945343018
luad,39,NAS14NN,second,allDatasets,0.674279510974884
ov,39,NAS14NN,first,allDatasets,3.295961618423462
ov,39,NAS14NN,first,justTargetDataset,3.604689359664917
ov,39,NAS14NN,second,allDatasets,0.9527093172073364
ov,39,NAS14NN,second,justTargetDataset,1.3542581796646118
all,39,NAS14NN,first,allDatasets,1.7256022691726685
all,39,NAS14NN,first,justTargetDataset,1.7258591651916504
all,39,NAS14NN,second,allDatasets,1.1474722623825073
all,39,NAS14NN,second,justTargetDataset,1.1483098268508911
brca,40,NAS14NN,first,allDatasets,0.8127493262290955
brca,40,NAS14NN,first,justTargetDataset,1.1814897060394287
ccrcc,40,NAS14NN,first,allDatasets,0.6872982382774353
ccrcc,40,NAS14NN,first,justTargetDataset,1.0201998949050903
ccrcc,40,NAS14NN,second,allDatasets,0.6582670211791992
ccrcc,40,NAS14NN,second,justTargetDataset,1.1937618255615234
coad,40,NAS14NN,first,allDatasets,1.2879921197891235
coad,40,NAS14NN,first,justTargetDataset,1.6209403276443481
coad,40,NAS14NN,second,allDatasets,2.3352103233337402
coad,40,NAS14NN,second,justTargetDataset,2.5142581462860107
gbm,40,NAS14NN,first,allDatasets,0.7453227639198303
gbm,40,NAS14NN,first,justTargetDataset,1.09014093875885
gbm,40,NAS14NN,second,allDatasets,0.8796842098236084
gbm,40,NAS14NN,second,justTargetDataset,1.3947443962097168
hnscc,40,NAS14NN,first,allDatasets,0.7196397185325623
hnscc,40,NAS14NN,first,justTargetDataset,1.1209381818771362
hnscc,40,NAS14NN,second,allDatasets,0.7033172845840454
hnscc,40,NAS14NN,second,justTargetDataset,2.4250168800354004
lscc,40,NAS14NN,first,allDatasets,0.5704634785652161
lscc,40,NAS14NN,first,justTargetDataset,0.9487177133560181
lscc,40,NAS14NN,second,allDatasets,0.5785508155822754
lscc,40,NAS14NN,second,justTargetDataset,0.9899135828018188
luad,40,NAS14NN,first,allDatasets,0.7533780932426453
luad,40,NAS14NN,first,justTargetDataset,1.0761029720306396
luad,40,NAS14NN,second,allDatasets,0.7681999802589417
luad,40,NAS14NN,second,justTargetDataset,1.1597381830215454
ov,40,NAS14NN,first,allDatasets,0.9818201661109924
ov,40,NAS14NN,first,justTargetDataset,1.3391133546829224
ov,40,NAS14NN,second,allDatasets,0.9813110828399658
ov,40,NAS14NN,second,justTargetDataset,1.4465349912643433
pdac,40,NAS14NN,first,allDatasets,1.19253671169281
pdac,40,NAS14NN,first,justTargetDataset,1.5578347444534302
pdac,40,NAS14NN,second,allDatasets,2.842653512954712
pdac,40,NAS14NN,second,justTargetDataset,2.678537607192993
all,40,NAS14NN,first,allDatasets,0.8426773548126221
all,40,NAS14NN,first,justTargetDataset,0.8425043821334839
all,40,NAS14NN,second,allDatasets,1.1078869104385376
all,40,NAS14NN,second,justTargetDataset,1.107495665550232
ccrcc,41,NAS14NN,first,allDatasets,0.5955866575241089
coad,41,NAS14NN,first,allDatasets,8.7485933303833
coad,41,NAS14NN,first,justTargetDataset,8.394370079040527
coad,41,NAS14NN,second,allDatasets,1.022994875907898
coad,41,NAS14NN,second,justTargetDataset,1.3187081813812256
gbm,41,NAS14NN,first,allDatasets,0.7100054621696472
gbm,41,NAS14NN,first,justTargetDataset,1.0628892183303833
gbm,41,NAS14NN,second,allDatasets,0.9278398156166077
gbm,41,NAS14NN,second,justTargetDataset,1.3519315719604492
hnscc,41,NAS14NN,first,allDatasets,0.741604745388031
hnscc,41,NAS14NN,first,justTargetDataset,1.0928583145141602
hnscc,41,NAS14NN,second,allDatasets,0.6707379817962646
hnscc,41,NAS14NN,second,justTargetDataset,1.0804928541183472
lscc,41,NAS14NN,first,allDatasets,0.49063873291015625
lscc,41,NAS14NN,first,justTargetDataset,0.8752315044403076
lscc,41,NAS14NN,second,allDatasets,0.6339348554611206
lscc,41,NAS14NN,second,justTargetDataset,1.0579833984375
luad,41,NAS14NN,first,allDatasets,0.6692929863929749
luad,41,NAS14NN,first,justTargetDataset,1.020638346672058
luad,41,NAS14NN,second,allDatasets,0.9272739291191101
luad,41,NAS14NN,second,justTargetDataset,1.2956308126449585
ov,41,NAS14NN,first,allDatasets,2.7898740768432617
ov,41,NAS14NN,first,justTargetDataset,3.5601601600646973
ov,41,NAS14NN,second,allDatasets,0.9060420989990234
ov,41,NAS14NN,second,justTargetDataset,1.2607228755950928
pdac,41,NAS14NN,first,allDatasets,1.3867436647415161
pdac,41,NAS14NN,first,justTargetDataset,1.7392109632492065
pdac,41,NAS14NN,second,allDatasets,1.484658122062683
pdac,41,NAS14NN,second,justTargetDataset,1.6446352005004883
all,41,NAS14NN,first,allDatasets,1.5202032327651978
all,41,NAS14NN,first,justTargetDataset,1.5193828344345093
all,41,NAS14NN,second,allDatasets,0.9132459759712219
all,41,NAS14NN,second,justTargetDataset,0.9136450290679932
brca,42,NAS14NN,first,allDatasets,0.8860732913017273
brca,42,NAS14NN,first,justTargetDataset,1.3684391975402832
brca,42,NAS14NN,second,allDatasets,0.8278798460960388
brca,42,NAS14NN,second,justTargetDataset,1.2132154703140259
ccrcc,42,NAS14NN,first,allDatasets,0.7069022059440613
ccrcc,42,NAS14NN,first,justTargetDataset,1.011220097541809
ccrcc,42,NAS14NN,second,allDatasets,1.362850308418274
ccrcc,42,NAS14NN,second,justTargetDataset,1.839487910270691
coad,42,NAS14NN,first,allDatasets,7.726262092590332
coad,42,NAS14NN,first,justTargetDataset,7.491370677947998
coad,42,NAS14NN,second,allDatasets,2.240593194961548
coad,42,NAS14NN,second,justTargetDataset,2.434978723526001
gbm,42,NAS14NN,first,allDatasets,0.8033124208450317
gbm,42,NAS14NN,first,justTargetDataset,1.217847466468811
gbm,42,NAS14NN,second,allDatasets,0.9978343844413757
gbm,42,NAS14NN,second,justTargetDataset,1.4377559423446655
hnscc,42,NAS14NN,first,allDatasets,0.6531373858451843
hnscc,42,NAS14NN,first,justTargetDataset,1.016971468925476
hnscc,42,NAS14NN,second,allDatasets,0.7518782615661621
hnscc,42,NAS14NN,second,justTargetDataset,1.1597752571105957
lscc,42,NAS14NN,first,allDatasets,0.6880016922950745
lscc,42,NAS14NN,first,justTargetDataset,1.1122868061065674
lscc,42,NAS14NN,second,allDatasets,0.6407748460769653
lscc,42,NAS14NN,second,justTargetDataset,1.1428494453430176
luad,42,NAS14NN,first,allDatasets,1.204633355140686
luad,42,NAS14NN,first,justTargetDataset,1.6904487609863281
luad,42,NAS14NN,second,allDatasets,0.8354023694992065
luad,42,NAS14NN,second,justTargetDataset,1.209640383720398
ov,42,NAS14NN,first,allDatasets,2.877444267272949
ov,42,NAS14NN,first,justTargetDataset,3.6242759227752686
ov,42,NAS14NN,second,allDatasets,0.8966952562332153
ov,42,NAS14NN,second,justTargetDataset,1.282533884048462
pdac,42,NAS14NN,first,allDatasets,1.3424280881881714
pdac,42,NAS14NN,first,justTargetDataset,1.5893737077713013
pdac,42,NAS14NN,second,allDatasets,1.0523101091384888
pdac,42,NAS14NN,second,justTargetDataset,1.4143983125686646
all,42,NAS14NN,first,allDatasets,1.5771454572677612
all,42,NAS14NN,first,justTargetDataset,1.5777689218521118
all,42,NAS14NN,second,allDatasets,1.0525234937667847
all,42,NAS14NN,second,justTargetDataset,1.0509388446807861
brca,43,NAS14NN,first,allDatasets,0.8863515257835388
brca,43,NAS14NN,first,justTargetDataset,1.2928684949874878
brca,43,NAS14NN,second,allDatasets,0.7901432514190674
brca,43,NAS14NN,second,justTargetDataset,1.1966636180877686
ccrcc,43,NAS14NN,first,allDatasets,1.7450957298278809
ccrcc,43,NAS14NN,first,justTargetDataset,2.049877882003784
ccrcc,43,NAS14NN,second,allDatasets,0.6562995314598083
ccrcc,43,NAS14NN,second,justTargetDataset,0.9998915195465088
coad,43,NAS14NN,first,allDatasets,3.091705083847046
coad,43,NAS14NN,first,justTargetDataset,3.428758144378662
coad,43,NAS14NN,second,allDatasets,4.279698371887207
coad,43,NAS14NN,second,justTargetDataset,4.248477458953857
gbm,43,NAS14NN,first,allDatasets,0.8362711668014526
gbm,43,NAS14NN,first,justTargetDataset,1.2604821920394897
gbm,43,NAS14NN,second,allDatasets,0.8009326457977295
gbm,43,NAS14NN,second,justTargetDataset,1.250709891319275
hnscc,43,NAS14NN,first,allDatasets,0.6416149139404297
hnscc,43,NAS14NN,first,justTargetDataset,1.0362695455551147
hnscc,43,NAS14NN,second,allDatasets,1.324236512184143
hnscc,43,NAS14NN,second,justTargetDataset,1.7211978435516357
lscc,43,NAS14NN,first,allDatasets,0.5889935493469238
lscc,43,NAS14NN,first,justTargetDataset,0.9813453555107117
lscc,43,NAS14NN,second,allDatasets,0.5044493079185486
lscc,43,NAS14NN,second,justTargetDataset,0.8893316388130188
luad,43,NAS14NN,first,allDatasets,0.793344259262085
luad,43,NAS14NN,first,justTargetDataset,1.1429293155670166
ov,43,NAS14NN,first,allDatasets,1.5764131546020508
ov,43,NAS14NN,first,justTargetDataset,2.2101731300354004
ov,43,NAS14NN,second,allDatasets,1.0265156030654907
ov,43,NAS14NN,second,justTargetDataset,1.5037649869918823
pdac,43,NAS14NN,first,allDatasets,2.217649459838867
pdac,43,NAS14NN,first,justTargetDataset,2.511645555496216
pdac,43,NAS14NN,second,allDatasets,1.3266633749008179
pdac,43,NAS14NN,second,justTargetDataset,1.5015168190002441
all,43,NAS14NN,first,allDatasets,1.2860815525054932
all,43,NAS14NN,first,justTargetDataset,1.2856576442718506
all,43,NAS14NN,second,allDatasets,1.1497397422790527
all,43,NAS14NN,second,justTargetDataset,1.149537444114685
brca,44,NAS14NN,first,allDatasets,0.8365641236305237
brca,44,NAS14NN,first,justTargetDataset,1.1578799486160278
brca,44,NAS14NN,second,allDatasets,1.093855619430542
brca,44,NAS14NN,second,justTargetDataset,1.8026297092437744
ccrcc,44,NAS14NN,first,allDatasets,0.6727508306503296
ccrcc,44,NAS14NN,first,justTargetDataset,1.0401344299316406
ccrcc,44,NAS14NN,second,allDatasets,3.0645604133605957
ccrcc,44,NAS14NN,second,justTargetDataset,3.051485538482666
coad,44,NAS14NN,first,allDatasets,4.718319416046143
coad,44,NAS14NN,first,justTargetDataset,4.847846984863281
coad,44,NAS14NN,second,allDatasets,1.3112223148345947
coad,44,NAS14NN,second,justTargetDataset,1.6327210664749146
gbm,44,NAS14NN,first,allDatasets,0.7406212091445923
gbm,44,NAS14NN,first,justTargetDataset,1.1209065914154053
gbm,44,NAS14NN,second,allDatasets,0.948246955871582
gbm,44,NAS14NN,second,justTargetDataset,1.413067102432251
hnscc,44,NAS14NN,first,allDatasets,0.7591671347618103
hnscc,44,NAS14NN,first,justTargetDataset,1.1601507663726807
lscc,44,NAS14NN,first,allDatasets,0.5362061858177185
lscc,44,NAS14NN,first,justTargetDataset,0.9761164784431458
lscc,44,NAS14NN,second,allDatasets,0.6117125749588013
lscc,44,NAS14NN,second,justTargetDataset,1.0193403959274292
luad,44,NAS14NN,first,allDatasets,1.0854588747024536
luad,44,NAS14NN,first,justTargetDataset,1.568526268005371
luad,44,NAS14NN,second,allDatasets,0.7044718861579895
luad,44,NAS14NN,second,justTargetDataset,1.0724467039108276
ov,44,NAS14NN,first,allDatasets,1.719525933265686
ov,44,NAS14NN,first,justTargetDataset,2.176971435546875
ov,44,NAS14NN,second,allDatasets,3.8811216354370117
ov,44,NAS14NN,second,justTargetDataset,4.121755599975586
pdac,44,NAS14NN,first,allDatasets,2.9801058769226074
pdac,44,NAS14NN,first,justTargetDataset,2.9354121685028076
pdac,44,NAS14NN,second,allDatasets,1.3750056028366089
pdac,44,NAS14NN,second,justTargetDataset,1.6797302961349487
all,44,NAS14NN,first,allDatasets,1.3791435956954956
all,44,NAS14NN,first,justTargetDataset,1.379650354385376
all,44,NAS14NN,second,allDatasets,1.419498324394226
all,44,NAS14NN,second,justTargetDataset,1.419016718864441
brca,45,NAS14NN,first,allDatasets,0.6784402132034302
brca,45,NAS14NN,first,justTargetDataset,1.0469117164611816
brca,45,NAS14NN,second,allDatasets,1.0244550704956055
ccrcc,45,NAS14NN,first,allDatasets,0.6686486005783081
ccrcc,45,NAS14NN,first,justTargetDataset,0.9716536402702332
ccrcc,45,NAS14NN,second,allDatasets,0.7040672302246094
ccrcc,45,NAS14NN,second,justTargetDataset,1.021018147468567
coad,45,NAS14NN,first,allDatasets,3.002117156982422
coad,45,NAS14NN,first,justTargetDataset,3.2289719581604004
coad,45,NAS14NN,second,allDatasets,1.7882534265518188
coad,45,NAS14NN,second,justTargetDataset,2.101869821548462
gbm,45,NAS14NN,first,allDatasets,0.8037013411521912
gbm,45,NAS14NN,first,justTargetDataset,1.241863489151001
gbm,45,NAS14NN,second,allDatasets,0.8111668229103088
gbm,45,NAS14NN,second,justTargetDataset,1.2015199661254883
hnscc,45,NAS14NN,first,allDatasets,0.7170807123184204
hnscc,45,NAS14NN,first,justTargetDataset,1.1184349060058594
hnscc,45,NAS14NN,second,allDatasets,0.7202645540237427
hnscc,45,NAS14NN,second,justTargetDataset,1.1090255975723267
lscc,45,NAS14NN,first,allDatasets,0.45692577958106995
luad,45,NAS14NN,first,allDatasets,0.9602678418159485
luad,45,NAS14NN,first,justTargetDataset,1.3305926322937012
luad,45,NAS14NN,second,allDatasets,0.6326102614402771
luad,45,NAS14NN,second,justTargetDataset,0.9869773387908936
ov,45,NAS14NN,first,allDatasets,0.9999974966049194
ov,45,NAS14NN,first,justTargetDataset,1.4217479228973389
ov,45,NAS14NN,second,allDatasets,0.9666925072669983
ov,45,NAS14NN,second,justTargetDataset,1.417292833328247
pdac,45,NAS14NN,first,allDatasets,2.236220359802246
pdac,45,NAS14NN,first,justTargetDataset,2.271070718765259
pdac,45,NAS14NN,second,allDatasets,1.0597809553146362
pdac,45,NAS14NN,second,justTargetDataset,1.4114609956741333
all,45,NAS14NN,first,allDatasets,1.0847028493881226
all,45,NAS14NN,first,justTargetDataset,1.084330677986145
all,45,NAS14NN,second,allDatasets,0.8952942490577698
all,45,NAS14NN,second,justTargetDataset,0.8931379318237305
brca,46,NAS14NN,first,allDatasets,0.8970458507537842
brca,46,NAS14NN,first,justTargetDataset,1.286987543106079
brca,46,NAS14NN,second,allDatasets,0.8121048212051392
brca,46,NAS14NN,second,justTargetDataset,1.2192052602767944
ccrcc,46,NAS14NN,first,allDatasets,0.6960605382919312
ccrcc,46,NAS14NN,first,justTargetDataset,1.0161635875701904
ccrcc,46,NAS14NN,second,allDatasets,1.3180283308029175
ccrcc,46,NAS14NN,second,justTargetDataset,1.6835824251174927
coad,46,NAS14NN,first,allDatasets,0.9668769240379333
gbm,46,NAS14NN,first,allDatasets,0.8372448682785034
gbm,46,NAS14NN,first,justTargetDataset,1.2401208877563477
gbm,46,NAS14NN,second,allDatasets,0.8613633513450623
gbm,46,NAS14NN,second,justTargetDataset,1.283958911895752
hnscc,46,NAS14NN,first,allDatasets,0.6701081395149231
hnscc,46,NAS14NN,first,justTargetDataset,1.043049931526184
hnscc,46,NAS14NN,second,allDatasets,0.7616516351699829
hnscc,46,NAS14NN,second,justTargetDataset,1.1494957208633423
lscc,46,NAS14NN,first,allDatasets,0.6046423316001892
lscc,46,NAS14NN,first,justTargetDataset,1.0816538333892822
lscc,46,NAS14NN,second,allDatasets,0.5258734822273254
lscc,46,NAS14NN,second,justTargetDataset,0.9154841303825378
luad,46,NAS14NN,first,allDatasets,0.9844205975532532
luad,46,NAS14NN,first,justTargetDataset,1.5583875179290771
luad,46,NAS14NN,second,allDatasets,0.8374612331390381
luad,46,NAS14NN,second,justTargetDataset,1.2427250146865845
ov,46,NAS14NN,first,allDatasets,1.9245433807373047
ov,46,NAS14NN,first,justTargetDataset,2.4224321842193604
pdac,46,NAS14NN,first,allDatasets,1.9105830192565918
pdac,46,NAS14NN,first,justTargetDataset,2.020923137664795
pdac,46,NAS14NN,second,allDatasets,1.3470797538757324
all,46,NAS14NN,first,allDatasets,1.0027532577514648
all,46,NAS14NN,first,justTargetDataset,1.0028128623962402
all,46,NAS14NN,second,allDatasets,1.2636934518814087
all,46,NAS14NN,second,justTargetDataset,1.2634272575378418
brca,47,NAS14NN,first,allDatasets,0.9759408235549927
brca,47,NAS14NN,first,justTargetDataset,1.3048176765441895
brca,47,NAS14NN,second,allDatasets,0.7781936526298523
brca,47,NAS14NN,second,justTargetDataset,1.3131119012832642
ccrcc,47,NAS14NN,first,allDatasets,0.655945897102356
ccrcc,47,NAS14NN,first,justTargetDataset,0.9718190431594849
ccrcc,47,NAS14NN,second,allDatasets,0.6983528733253479
ccrcc,47,NAS14NN,second,justTargetDataset,1.0198293924331665
coad,47,NAS14NN,first,allDatasets,2.0467031002044678
coad,47,NAS14NN,first,justTargetDataset,2.369351387023926
coad,47,NAS14NN,second,allDatasets,10.454887390136719
coad,47,NAS14NN,second,justTargetDataset,9.791994094848633
gbm,47,NAS14NN,first,allDatasets,1.9243183135986328
gbm,47,NAS14NN,first,justTargetDataset,2.2738845348358154
gbm,47,NAS14NN,second,allDatasets,0.9928341507911682
gbm,47,NAS14NN,second,justTargetDataset,1.4748198986053467
hnscc,47,NAS14NN,first,allDatasets,0.7625788450241089
hnscc,47,NAS14NN,first,justTargetDataset,1.1408668756484985
hnscc,47,NAS14NN,second,allDatasets,0.6789361238479614
hnscc,47,NAS14NN,second,justTargetDataset,1.0760353803634644
lscc,47,NAS14NN,first,allDatasets,0.5304354429244995
lscc,47,NAS14NN,first,justTargetDataset,0.9235484600067139
lscc,47,NAS14NN,second,allDatasets,0.6304675340652466
luad,47,NAS14NN,first,allDatasets,0.768712043762207
luad,47,NAS14NN,first,justTargetDataset,1.0996646881103516
luad,47,NAS14NN,second,allDatasets,0.7380725741386414
ov,47,NAS14NN,first,allDatasets,2.879901647567749
ov,47,NAS14NN,first,justTargetDataset,3.131488800048828
ov,47,NAS14NN,second,allDatasets,0.9690784811973572
ov,47,NAS14NN,second,justTargetDataset,1.3901664018630981
pdac,47,NAS14NN,first,allDatasets,1.0900459289550781
pdac,47,NAS14NN,first,justTargetDataset,1.3822896480560303
pdac,47,NAS14NN,second,allDatasets,1.134979486465454
pdac,47,NAS14NN,second,justTargetDataset,1.518999457359314
all,47,NAS14NN,first,allDatasets,1.1192046403884888
all,47,NAS14NN,first,justTargetDataset,1.1189038753509521
all,47,NAS14NN,second,allDatasets,1.5720558166503906
all,47,NAS14NN,second,justTargetDataset,1.5727102756500244
brca,48,NAS14NN,first,allDatasets,0.8180577754974365
brca,48,NAS14NN,first,justTargetDataset,1.2178972959518433
brca,48,NAS14NN,second,allDatasets,0.8716952800750732
brca,48,NAS14NN,second,justTargetDataset,1.2933751344680786
ccrcc,48,NAS14NN,first,allDatasets,0.682260274887085
ccrcc,48,NAS14NN,first,justTargetDataset,1.004597783088684
ccrcc,48,NAS14NN,second,allDatasets,0.7027180790901184
ccrcc,48,NAS14NN,second,justTargetDataset,1.061073899269104
coad,48,NAS14NN,first,allDatasets,2.5950875282287598
coad,48,NAS14NN,first,justTargetDataset,2.912130355834961
coad,48,NAS14NN,second,allDatasets,2.6847758293151855
coad,48,NAS14NN,second,justTargetDataset,2.8818142414093018
gbm,48,NAS14NN,first,allDatasets,0.8066904544830322
gbm,48,NAS14NN,first,justTargetDataset,1.2187514305114746
gbm,48,NAS14NN,second,allDatasets,0.8459917306900024
gbm,48,NAS14NN,second,justTargetDataset,1.238065242767334
hnscc,48,NAS14NN,first,allDatasets,0.9447914958000183
hnscc,48,NAS14NN,first,justTargetDataset,1.4193320274353027
hnscc,48,NAS14NN,second,allDatasets,1.7841516733169556
hnscc,48,NAS14NN,second,justTargetDataset,1.9637504816055298
lscc,48,NAS14NN,first,allDatasets,0.5381169319152832
lscc,48,NAS14NN,first,justTargetDataset,0.9223091006278992
lscc,48,NAS14NN,second,allDatasets,0.5492146015167236
lscc,48,NAS14NN,second,justTargetDataset,0.9567647576332092
luad,48,NAS14NN,first,allDatasets,0.7119281888008118
luad,48,NAS14NN,first,justTargetDataset,1.109591007232666
luad,48,NAS14NN,second,allDatasets,0.9016110897064209
luad,48,NAS14NN,second,justTargetDataset,1.2663195133209229
ov,48,NAS14NN,first,allDatasets,0.9528858065605164
ov,48,NAS14NN,first,justTargetDataset,1.397865653038025
ov,48,NAS14NN,second,allDatasets,4.619372844696045
ov,48,NAS14NN,second,justTargetDataset,4.7350993156433105
pdac,48,NAS14NN,first,allDatasets,1.1267794370651245
pdac,48,NAS14NN,first,justTargetDataset,1.4628500938415527
all,48,NAS14NN,first,allDatasets,0.963914692401886
all,48,NAS14NN,first,justTargetDataset,0.9630866646766663
all,48,NAS14NN,second,allDatasets,1.3430372476577759
all,48,NAS14NN,second,justTargetDataset,1.3425710201263428
brca,49,NAS14NN,first,allDatasets,0.7721547484397888
brca,49,NAS14NN,first,justTargetDataset,1.19065260887146
brca,49,NAS14NN,second,allDatasets,0.9484304785728455
brca,49,NAS14NN,second,justTargetDataset,1.2898985147476196
ccrcc,49,NAS14NN,first,allDatasets,0.9362850785255432
ccrcc,49,NAS14NN,first,justTargetDataset,1.2751764059066772
ccrcc,49,NAS14NN,second,allDatasets,0.6301782131195068
ccrcc,49,NAS14NN,second,justTargetDataset,0.9562178254127502
gbm,49,NAS14NN,first,allDatasets,0.8168966770172119
gbm,49,NAS14NN,first,justTargetDataset,1.2437275648117065
lscc,49,NAS14NN,first,allDatasets,0.5771985054016113
lscc,49,NAS14NN,first,justTargetDataset,0.9811280369758606
lscc,49,NAS14NN,second,allDatasets,0.5195286870002747
lscc,49,NAS14NN,second,justTargetDataset,0.8847177028656006
luad,49,NAS14NN,first,allDatasets,0.8327959179878235
luad,49,NAS14NN,first,justTargetDataset,1.185795545578003
luad,49,NAS14NN,second,allDatasets,0.6914533972740173
luad,49,NAS14NN,second,justTargetDataset,1.0905213356018066
